PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,INFRASTRUCTURE,"NUMBER OF DAMAGED",UNIT,"QUANTITY [number]",STATUS,"COST(PHP) [number]",REMARKS
"LA UNION","San Fernando","Brgy. Pagudpud, San Fernando City, La Union","Flood control",National,"San Fernando Airport Road, K0265+600",1,"Select an option",1,,200000,"Damaged slope protection"
"LA UNION","San Fernando","Brgy. Lingsat, San Fernando City, La Union","Government Facilities",National,"Area Equipment Services I-3, Quarters Building, Department of Public Works and Highways, Brgy. Lingsat, San Fernando City, La Union",1,"Select an option",1,,130260.7,"Damaged Roofing<br>"
"LA UNION","San Fernando","Brgy. Canaoay, San Fernando City, La Union","Government Facilities",National,"Navy Hangar, Department of National Defense, San Fernando Airport, San Fernando City, La Union",1,"Select an option",1,,50000,"Damaged Roofing<br>"
"LA UNION","San Juan","Brgy. Taboc, San Juan, La Union","Flood control",National,"West Philippine Sea, Seawall, Brgy. Taboc, San Juan, La Union",1,"Select an option",1,,1440000,"Damaged seawall"
"LA UNION",Tubao,Rizal,Bridge,National,"Anduyan- San Pascual Road, Anduyan Bridge, Approach B (LS)",1,"Select an option",1,,335000,"Stone Masonry Collapsed"
"LA UNION",Tubao,"Brgy. Gonzales- Brgy. Magsaysay, Tubao, La Union",Road,National,"Agoo- Baguio City Road <br> K0244+175- K0244+565",1,"Select an option",1,,2000000,"Aggravated Damaged Canal and Eroded Shoulder<br>"
"LA UNION",Rosario,"Camp One",Road,National,"Kennon Road <br> K0214+030- K0214+042",1,"Select an option",1,,200000,"Aggravated Stone Masonry Collapse"
"LA UNION",Rosario,Cataguintingan,Road,National,"Manila North Road <br> K0219+860- K0219+900",1,"Select an option",1,,226757.37,"Aggravated Settlement"
"LA UNION",Rosario,Cataguintingan,Road,National,"Manila North Road <br> K0219+780- K0219+812",1,"Select an option",1,,952000,"Aggravated Road Shoulder and Slope Protection Collapsed"
"LA UNION",Rosario,Amlang,Road,National,"Manila North Road <br> <br> K0221+900- K0221+925",1,"Select an option",1,,650000,"Aggravated Scoured Slope Protection"
"LA UNION",Rosario,"Brgy. Camp One, Rosario, La Union",Road,National,"Kennon Road <br> K0214+030- K0214+042",1,"Select an option",1,,200000,"Aggravated Stone Masonry Collapse"
"LA UNION",Rosario,"Brgy. Cataguintingan, Rosario, La Union",Road,National,"Manila North Road <br> K0219+860- K0219+900",1,"Select an option",1,,226757.37,"Aggravated Settlement<br>"
"LA UNION",Rosario,"Brgy. Cataguintingan, Rosario, La Union",Road,National,"Manila North Road <br> K0219+780- K0219+812",1,"Select an option",1,,952000,"Aggravated Road Shoulder and Slope Protection Collapsed<br>"
"LA UNION",Rosario,"Brgy. Amlang, Rosario, La Union",Road,National,"Manila North Road <br> <br> K0221+900- K0221+925",1,"Select an option",1,,650000,"Aggravated Scoured Slope Protection <br>"
"LA UNION",Caba,Gana,Road,National,"Manila North Road <br> K0247+150- K0247+170",1,"Select an option",1,,293333.33,"Aggravated Slope Protection and Cross Drain Collapsed"
"LA UNION",Caba,"Brgy. Gana, Caba, La Union",Road,National,"Manila North Road <br> K0247+150- K0247+170",1,"Select an option",1,,293333.33,"Aggravated Slope Protection and Cross Drain Collapsed<br>"
"LA UNION",Pugo,Tavora,Road,National,"Agoo- Baguio City Road <br> K0249+300",1,"Select an option",1,,250000,"Aggravated Slope Protection Collapsed"
"LA UNION",Pugo,"Brgy. Tavora Proper, Pugo, La Union",Road,National,"Agoo- Baguio City Road <br> K0249+300",1,"Select an option",1,,250000,"Aggravated Slope Protection Collapsed<br>"
PANGASINAN,Sison,Agat,Bridge,National,"Bued Bridge (B00735LZ), K0211+648, Brgy. Agat, Sison, Pangasinan",1,"Select an option",1,,100000000,"Scoured Foundation (Bored Pile)"
PANGASINAN,"San Nicolas",Malico,Road,National,"Pangasinan- Nueva Vizcaya Road, K0225+200, Brgy. Malico, San Nicolas, Pangasinan",1,"Select an option",1,,672673.2,"Damaged Road Slope Protection and Aprootes Guardrail"
PANGASINAN,"San Nicolas",Malico,Road,National,"Pangasinan- Nueva Vizcaya Road, K0213+572- K0213+587, K0213+605- K0213+656, Brgy. Malico, San Nicolas, Pangasinan",1,"Select an option",1,,2904000,"Aggravated Road Slip (hanging) Scoured Pipe Culvert"
PANGASINAN,Anda,none,Roads,Local,"Tori Tori",1,"Select an option",1,,5000000,"Dilapidated asphalt pavement<br>on going validation"
PANGASINAN,Bani,none,Roads,Local,"Tiep - Macabit",1,"Select an option",1,,5000000,"Dilapidated asphalt pavement<br>on going validation"
PANGASINAN,Bani,none,Roads,Local,"Banog Bo",1,"Select an option",1,,5000000,"Dilapidated asphalt pavement<br>on going validation"
PANGASINAN,Bani,"Brgy. Banog, Bani, Pangasinan","Health facilities",National,"Banog Norte BHS",1,"Select an option",1,,200000,"Damaged<br>Roof, ceiling<br>and gutter"
PANGASINAN,Bani,"Brgy. Banog, Bani, Pangasinan","Health facilities",National,"Tugui Grande BHS",1,"Select an option",1,,200000,"Damaged<br>Roof, ceiling<br>and gutter"
PANGASINAN,Bani,"Brgy. Tawin- Tawin, Alaminos City, Pangasinan","Health facilities",National,"Brgy Tawin- Tawin Health Center",1,"Select an option",1,,0,"Damaged<br>door,<br>window and<br>ceiling"
PANGASINAN,Burgos,none,Roads,Local,Iliw-Iliw,1,"Select an option",1,,5000000,"Dilapidated asphalt pavement<br>on going validation"
