PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
"LA UNION","Santo Tomas",Patac,4,,,23,"Patac Multi Purpose Hall"
"LA UNION","Santo Tomas",Patac,4,,,13,"Patac Elementary School"
"LA UNION","Santo Tomas",Patac,4,,,20," Santo Tomas National School"
"LA UNION","Santo Tomas",Pobacion,7,,,22," Poblacion Multi Purpose Hall"
"LA UNION","Santo Tomas",Pobacion,4,,,13," Santo Tomas Central School"
"LA UNION","Santo Tomas",Pobacion,11,,,40,"Outside Evacuation"
"LA UNION","Santo Tomas",Raois,38,,,109,"Santo Tomas Central School"
"LA UNION","Santo Tomas",Raois,20,,,64,
"LA UNION","Santo Tomas",Tococ,1,,,6,"Outside Evacuation"
"LA UNION","Santo Tomas",Tococ,3,,,14,"Tococ Multi Purpose Hall"
"LA UNION","Santo Tomas"," Tubod",6,,,23,"Tubod Multi Purpose Hall"
"LA UNION","Santo Tomas",Ubagan,19,,,56,"Ubagan Elementary School"
"LA UNION","Santo Tomas",Ubagan,13,,,45," Ubagan Multi Purpose Hall"
"LA UNION","Santo Tomas",Ubagan,2,,,6,"Outside Evacuation"
"LA UNION",Bacnotan," Casiaman",1,0,0,6," Casiaman Evacuation Center"
"LA UNION",Bacnotan,Maragayap,2,,,7,"Evacuation Center"
"LA UNION",Bacnotan," Agtipal",3,,,7,"Evacuation Center"
"LA UNION",Bacnotan,Tammocalao,40,,,105,"Evacuation Center"
"LA UNION",Bacnotan,Sipulo,4,,,7,"Evacuation Center"
"LA UNION",Bacnotan,Baroro,96,,,283,"Baroro Evacuation Center"
"LA UNION",Bacnotan,Galongen,29,,,79,"Paagan Evacuation Center"
"LA UNION",Bacnotan,Oya-oy,1,,,1," Oya-oy Evacuation Center"
"LA UNION",Bacnotan,Ortega,4,,,11,"Mabanengbeng 1st Evacuation Center"
"LA UNION",Bacnotan," Nagsaraboan",5,,,13," Nangalisan Evacuation Center"
"LA UNION",Bacnotan," Quirino",4,,,8," Quirino Evacuation Center"
"LA UNION",Bacnotan,Bussaoit,10,,,36,"Bussaoit Evacuation Center"
"LA UNION",Bacnotan,Nagsimbaanan,1,,,3," Nagsimbaanan Evacuation Center"
"LA UNION",Aringay," Samara",9,,,28," Samara Covered Court"
"LA UNION",Aringay," Samara",1,,,6," Mormon Church"
"LA UNION",Aringay,Poblacion,1,,,5," Mormon Church"
"LA UNION",Aringay,Alaska,4,,,10," Mormon Church"
"LA UNION",Aringay,"San Benito Norte",3,,,9," Mormon Church"
"LA UNION",Aringay,"San Benito Sur",6,,,15," Mormon Church"
"LA UNION",Aringay,"Sto. Rosario West",1,,,2," Aringay Central Elemetary School<br>East Compound Gabaldon"
"LA UNION",Aringay,"Sta. Lucia",27,,,99,"Aringay Central Elemetary School<br>East Compound Gabaldon"
"LA UNION",Aringay,"Sta. Lucia",2,,,9," Aringay Central Elemetary School<br>West Compound Gabaldon"
"LA UNION",Aringay,"San Benito Sur",3,,,12,"Aringay Central Elemetary School<br>East Compound Gabaldon"
"LA UNION",Aringay,Samara,24,,,80,"Aringay Central Elemetary School<br>East Compound Gabaldon"
"LA UNION",Aringay,Dulao,3,,,5," Aringay Central Elemetary School West Compound Gabaldon"
